File Name,Corresponding Data Point,Maximum Subtraction
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_39 PM].csv",0.925,0.00012827200000000002
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_45 PM].csv",1.1,7.504000000000001e-05
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_52 PM].csv",1.375,0.00014214000000000007
"[B7-01-4um-02,SET-RESET,52,9_4_2024 3_02_58 PM].csv",0.85,0.000179664
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_08_08 PM].csv",0.825,0.0001401
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_08_15 PM].csv",0.875,0.00011318
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_08_21 PM].csv",0.825,0.00020079999999999997
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_08_27 PM].csv",0.8,7.227999999999998e-05
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_08_33 PM].csv",0.925,0.00010839999999999998
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_08_39 PM].csv",0.75,9.351999999999999e-05
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_08_46 PM].csv",0.7,0.00010857000000000001
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_08_52 PM].csv",0.675,0.00011019199999999999
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_08_58 PM].csv",0.85,0.00014594000000000006
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_09_04 PM].csv",0.85,0.00014015999999999996
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_09_11 PM].csv",0.825,0.00020917999999999997
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_09_17 PM].csv",0.85,9.765999999999996e-05
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_09_23 PM].csv",0.725,0.00019509399999999999
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_09_30 PM].csv",0.9,0.00013744
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_09_36 PM].csv",0.7,0.000103268
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_09_42 PM].csv",0.85,9.153999999999998e-05
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_09_48 PM].csv",0.7,7.8278e-05
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_09_54 PM].csv",0.95,8.416000000000001e-05
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_10_00 PM].csv",0.8,8.465999999999999e-05
"[B7-01-4um-06,SET-RESET,56,9_4_2024 3_10_06 PM].csv",0.7,7.833e-05
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_11_14 PM].csv",1.4,0.00038466
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_11_20 PM].csv",1.1,0.000427686
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_11_27 PM].csv",1.15,0.00043547599999999996
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_11_33 PM].csv",0.775,0.000489636
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_11_40 PM].csv",1.2,0.000432382
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_11_46 PM].csv",0.85,0.00045916399999999997
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_11_52 PM].csv",1.1,0.000442504
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_11_58 PM].csv",1.05,0.000449786
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_12_06 PM].csv",0.9,0.000475834
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_12_12 PM].csv",0.85,0.000485538
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_12_18 PM].csv",1.0,0.00046039599999999996
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_12_25 PM].csv",0.95,0.00046566399999999997
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_12_31 PM].csv",0.925,0.0004918977
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_12_38 PM].csv",1.075,0.00041868799999999996
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_12_44 PM].csv",0.825,0.00048388
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_12_50 PM].csv",1.05,0.000424044
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_12_57 PM].csv",1.0,0.000455706
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_13_03 PM].csv",1.075,0.00044011
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_13_09 PM].csv",0.875,0.000477186
"[B7-01-4um-07,SET-RESET,57,9_4_2024 3_13_15 PM].csv",1.0,0.000458762
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_14_21 PM].csv",1.075,0.00012619999999999998
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_14_27 PM].csv",0.925,0.00024178400000000001
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_14_33 PM].csv",1.025,0.00010443999999999997
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_14_40 PM].csv",1.075,0.00016624
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_14_46 PM].csv",1.15,0.00019176000000000002
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_14_53 PM].csv",0.95,7.561999999999998e-05
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_14_59 PM].csv",1.025,9.639999999999996e-05
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_15_05 PM].csv",0.975,0.00034476000000000005
