condition,device_id,total_cycles,good_cycles
S3,A8-04-4um-11,20,20
S3,A8-04-4um-12,20,20
S3,B6-01-4um-01,40,40
S3,B6-01-4um-02,40,40
S3,B6-01-4um-03,40,40
S3,B6-01-4um-04,40,40
S3,B6-01-4um-05,20,20
S3,B6-01-4um-06,20,20
S3,B6-01-4um-07,20,20
S3,B6-01-4um-09,20,20
S3,B6-01-4um-10,20,20
S3,B6-01-4um-12,20,20
S3,C3-01-4um-01,20,20
S3,C3-01-4um-02,20,20
S3,C3-01-4um-03,20,20
S3,C3-01-4um-04,20,20
S3,C3-01-4um-05,20,20
S3,C3-01-4um-06,20,20
S3,C3-01-4um-07,20,20
S3,C3-01-4um-08,20,20
S3,C3-01-4um-09,20,20
S3,C3-01-4um-10,20,20
S3,C3-01-4um-11,20,20
S3,C3-01-4um-12,20,20
S3,C3-02-4um-01,20,20
S3,C3-02-4um-02,20,20
S3,C3-02-4um-03,20,20
S3,C3-02-4um-04,1,1
S3,C3-02-4um-05,20,20
S3,C3-02-4um-06,20,20
S3,C3-02-4um-07,20,20
S3,C3-02-4um-08,20,20
S3,C3-02-4um-09,20,20
S3,C3-02-4um-10,20,20
S3,C3-02-4um-11,20,20
S3,C3-02-4um-12,20,20
S3,C3-04-4um-05,20,20
S3,C3-04-4um-06,20,20
S3,C3-04-4um-07,20,20
S3,C3-04-4um-08,20,20
S3,C3-04-4um-09,20,20
S3,C3-04-4um-10,20,20
S3,C3-04-4um-11,20,20
S3,C3-04-4um-12,20,20
S3,C5-02-4um-01,20,20
S3,C5-02-4um-02,20,20
S3,C5-02-4um-03,20,20
S3,C5-02-4um-04,20,20
S3,C5-02-4um-05,20,20
S3,C5-02-4um-06,20,20
S3,C5-02-4um-07,20,20
S3,C5-02-4um-08,20,20
S3,C5-02-4um-09,20,20
S3,C5-02-4um-11,20,20
S3,C5-02-4um-12,40,40
S3,D1-02-4um-01,40,40
S3,D1-02-4um-02,40,40
S3,D1-02-4um-03,22,22
S3,D1-02-4um-04,40,40
S3,D1-02-4um-05,40,40
S3,D1-02-4um-06,17,17
S3,D1-02-4um-07,6,6
S3,D1-02-4um-08,20,20
S3,D1-02-4um-09,17,17
S3,D1-02-4um-10,1,1
S3,D1-02-4um-11,20,20
S3,D1-02-4um-12,20,20
S3,c3-04-4um-01,20,20
S3,c3-04-4um-02,20,20
S3,c3-04-4um-03,20,20
S4,A8-02-4um-01,20,20
S4,A8-02-4um-02,20,20
S4,A8-02-4um-03,20,20
S4,A8-02-4um-04,20,20
S4,A8-02-4um-05,20,20
S4,A8-02-4um-06,20,20
S4,A8-02-4um-07,20,20
S4,A8-02-4um-08,20,20
S4,A8-02-4um-09,20,20
S4,A8-02-4um-10,14,13
S4,B6-01-4um-01,1,0
S4,B6-01-4um-02,20,20
S4,B6-01-4um-03,20,20
S4,B6-01-4um-04,20,20
S4,B6-01-4um-05,20,20
S4,C3-03-4um-07,20,20
S4,C3-03-4um-08,20,20
S4,C3-03-4um-09,20,20
S4,C3-03-4um-10,19,19
S4,C3-03-4um-11,20,20
S4,C3-03-4um-12,20,20
S4,D1-02-4um-01,20,20
S4,D1-02-4um-02,6,6
S4,D1-02-4um-03,20,20
